8395
+Vehicle assignments
car0;z5
car1;z13
car2;z1
car3;z11
car4;z16
car5;z21
car6;z23
car7;z0
car8;z17
car9;z3
+Assigned requests
req0;car4
req1;car9
req2;car2
req3;car8
req6;car6
req7;car6
req8;car4
req9;car4
req10;car2
req11;car5
req12;car3
req13;car5
req16;car5
req17;car8
req19;car9
req20;car4
req21;car3
req22;car7
req23;car5
req24;car1
req25;car4
req27;car9
req28;car7
req29;car5
req30;car0
req31;car1
req34;car1
req35;car7
req36;car9
req38;car1
req39;car9
req40;car0
req41;car7
req42;car7
req43;car3
req44;car2
req45;car8
req46;car3
req47;car6
req49;car7
req51;car0
req53;car8
req54;car9
req55;car4
req56;car8
req57;car3
req58;car6
req60;car3
req61;car5
req62;car0
req63;car6
req64;car2
req67;car4
req69;car6
req71;car1
req73;car3
req74;car6
req75;car2
req76;car7
req78;car0
req79;car4
req80;car8
req84;car8
req85;car7
req86;car3
req87;car6
req88;car0
req89;car3
req90;car2
req91;car1
req93;car5
req94;car2
req96;car0
req97;car9
req99;car1
+Unassigned requests
req4
req5
req14
req15
req18
req26
req32
req33
req37
req48
req50
req52
req59
req65
req66
req68
req70
req72
req77
req81
req82
req83
req92
req95
req98
